#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         
100000          1617609.7133    1686906.1331    -15177.6907     21929.2240      0.0000          -76047.9531     -38198.7520     31688.2129      137.1147        
200000          -263148.9426    -195414.3356    -14976.4837     23361.3531      0.0000          -76119.4764     -38604.0413     31252.0328      136.4343        
300000          -292403.9619    -213651.0832    -16352.5194     19356.6616      0.0000          -81757.0209     -41533.2073     31169.3384      142.5705        
400000          -300345.5905    -219131.6257    -16769.6399     20592.7808      0.0000          -85037.1057     -43194.7453     30384.9780      144.3741        
500000          -296009.7674    -217379.8441    -16494.4058     19619.6894      0.0000          -81755.2069     -41357.8827     31262.6464      143.1582        
600000          -277881.5841    -205799.9463    -15643.3848     21937.0024      0.0000          -78375.2554     -39849.9264     31164.0584      139.4433        
700000          -281144.6466    -205901.3540    -15703.3438     20042.0932      0.0000          -79582.0420     -40544.6542     30765.0749      139.6495        
800000          -283311.3741    -210973.3923    -15978.4658     23014.8143      0.0000          -79374.3304     -39857.6691     31127.9520      140.9233        
900000          -283683.3197    -208585.8175    -15990.4445     21545.0594      0.0000          -80652.1172     -40654.5123     30366.0250      140.9823        
1000000         -279925.3474    -208302.5294    -15856.7392     23426.0316      0.0000          -79192.1105     -40127.8207     31151.5851      140.3926        
