#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         MOLFRACT_O      MOLFRACT_Si     MOLFRACT_C1P    
100000          9999999999      9999999999      -55404.2701     0.0000          0.0000          0.0000          0.0000          0.0000          8420.1590       0.65845005      0.30784677      0.03370318      
200000          9999999999      9999999999      -57131.7582     0.0000          0.0000          0.0000          0.0000          0.0000          8454.2129       0.65576843      0.30659303      0.03763854      
300000          9999999999      9999999999      -57445.0318     0.0000          0.0000          0.0000          0.0000          0.0000          8460.2227       0.65530272      0.30637530      0.03832199      
400000          9999999999      9999999999      -57638.6612     0.0000          0.0000          0.0000          0.0000          0.0000          8463.9424       0.65501424      0.30624042      0.03874534      
500000          9999999999      9999999999      -57357.4646     0.0000          0.0000          0.0000          0.0000          0.0000          8458.5531       0.65543163      0.30643557      0.03813280      
600000          9999999999      9999999999      -57786.9390     0.0000          0.0000          0.0000          0.0000          0.0000          8466.7752       0.65479526      0.30613804      0.03906670      
700000          9999999999      9999999999      -57916.6997     0.0000          0.0000          0.0000          0.0000          0.0000          8469.2476       0.65460443      0.30604882      0.03934675      
800000          9999999999      9999999999      -57925.9837     0.0000          0.0000          0.0000          0.0000          0.0000          8469.4359       0.65458938      0.30604179      0.03936884      
900000          9999999999      9999999999      -57599.5576     0.0000          0.0000          0.0000          0.0000          0.0000          8463.1791       0.65507399      0.30626836      0.03865766      
1000000         9999999999      9999999999      -57448.7196     0.0000          0.0000          0.0000          0.0000          0.0000          8460.3026       0.65529611      0.30637221      0.03833168      
