#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         
100000          -51377.0338     -48942.4946     -2434.5393      0.0000          0.0000          0.0000          0.0000          0.0000          148.2214        
200000          -39045.3931     -37203.1165     -1842.2766      0.0000          0.0000          0.0000          0.0000          0.0000          126.3131        
300000          -48992.0009     -46668.2790     -2323.7219      0.0000          0.0000          0.0000          0.0000          0.0000          149.4729        
400000          -57101.0935     -54383.2776     -2717.8159      0.0000          0.0000          0.0000          0.0000          0.0000          160.8408        
500000          -68080.4517     -64824.5509     -3255.9008      0.0000          0.0000          0.0000          0.0000          0.0000          182.9710        
600000          -45263.2771     -43123.5325     -2139.7445      0.0000          0.0000          0.0000          0.0000          0.0000          141.6242        
700000          -61993.0449     -59036.1728     -2956.8721      0.0000          0.0000          0.0000          0.0000          0.0000          169.5158        
800000          -54495.1364     -51904.0004     -2591.1360      0.0000          0.0000          0.0000          0.0000          0.0000          157.5588        
900000          -27822.1045     -26527.6727     -1294.4318      0.0000          0.0000          0.0000          0.0000          0.0000          103.0138        
1000000         -26636.4997     -25404.5891     -1231.9106      0.0000          0.0000          0.0000          0.0000          0.0000          100.9439        
