#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         
100000          -251830.9793    -277761.0315    0.0000          31572.2796      -5642.2274      0.0000          0.0000          0.0000          76.2160         
200000          -229082.6748    -252514.8436    0.0000          28703.7580      -5271.5892      0.0000          0.0000          0.0000          71.1837         
300000          -217571.0570    -241336.1171    0.0000          29070.9139      -5305.8537      0.0000          0.0000          0.0000          69.9596         
400000          -240222.9897    -264637.1003    0.0000          29838.6571      -5424.5465      0.0000          0.0000          0.0000          73.9678         
500000          -242290.7010    -269152.6337    0.0000          32670.6306      -5808.6979      0.0000          0.0000          0.0000          75.2920         
600000          -263782.0517    -289406.5117    0.0000          31347.4474      -5722.9874      0.0000          0.0000          0.0000          77.6771         
700000          -230667.1585    -255910.3751    0.0000          30802.6501      -5559.4334      0.0000          0.0000          0.0000          73.1818         
800000          -258915.3960    -286062.9839    0.0000          33102.3604      -5954.7725      0.0000          0.0000          0.0000          77.3311         
900000          -255645.5841    -282233.6950    0.0000          32417.7255      -5829.6145      0.0000          0.0000          0.0000          77.2454         
1000000         -231689.0798    -256847.0132    0.0000          30703.6181      -5545.6847      0.0000          0.0000          0.0000          73.1697         
