#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         
100000          -257120.9585    -285232.8214    0.0000          34121.6702      -6009.8073      0.0000          0.0000          0.0000          77.2999         
200000          -217155.2257    -242361.6614    0.0000          30802.1726      -5595.7369      0.0000          0.0000          0.0000          71.2538         
300000          -250439.4020    -278284.0385    0.0000          33909.8615      -6065.2249      0.0000          0.0000          0.0000          75.9125         
400000          -222620.8965    -245549.7743    0.0000          28105.1846      -5176.3067      0.0000          0.0000          0.0000          71.2582         
500000          -245967.1505    -270460.9141    0.0000          30084.0705      -5590.3069      0.0000          0.0000          0.0000          75.3659         
600000          -238094.7386    -264583.7959    0.0000          32152.6077      -5663.5504      0.0000          0.0000          0.0000          74.3508         
700000          -230976.3897    -256046.3268    0.0000          30619.2706      -5549.3335      0.0000          0.0000          0.0000          73.0875         
800000          -226511.5456    -251758.8168    0.0000          30838.0063      -5590.7351      0.0000          0.0000          0.0000          72.6857         
900000          -219824.1038    -241340.9161    0.0000          26426.7570      -4909.9447      0.0000          0.0000          0.0000          69.1159         
1000000         -267994.6484    -293544.2622    0.0000          31324.4415      -5774.8278      0.0000          0.0000          0.0000          78.2984         
