#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         
100000          63812.4362      -46708.3081     -4227.8157      121984.3916     -7235.8315      0.0000          0.0000          0.0000          49.8908         
200000          57257.9463      -26995.6077     -2349.7372      92048.5386      -5445.2474      0.0000          0.0000          0.0000          37.5591         
300000          55487.9277      -23831.6135     -2081.7617      86522.7473      -5121.4443      0.0000          0.0000          0.0000          35.5062         
400000          57536.6658      -49916.3580     -4594.3819      119153.8638     -7106.4581      0.0000          0.0000          0.0000          48.5398         
500000          56349.4106      -117678.1463    -11253.7295     197050.4746     -11769.1883     0.0000          0.0000          0.0000          81.7254         
600000          59330.1368      -27952.8977     -2431.4618      95380.9974      -5666.5011      0.0000          0.0000          0.0000          38.7977         
700000          57179.9150      -37412.1447     -3397.5467      104160.7329     -6171.1266      0.0000          0.0000          0.0000          42.9667         
800000          61040.7126      -43478.9913     -3929.2201      115368.8105     -6919.8866      0.0000          0.0000          0.0000          47.5035         
900000          61362.8031      -69418.2672     -6515.5625      146014.5330     -8717.9002      0.0000          0.0000          0.0000          59.8088         
1000000         54466.0400      -23050.9526     -1993.9554      84518.2897      -5007.3417      0.0000          0.0000          0.0000          35.3683         
