#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         
100000          -8699.7121      -39300.1522     -4012.4386      34612.8786      0.0000          0.0000          0.0000          0.0000          53.6385         
200000          -3970.6423      -32673.6976     -3293.4933      31996.5486      0.0000          0.0000          0.0000          0.0000          49.4804         
300000          -3804.9749      -32573.9842     -3271.4936      32040.5030      0.0000          0.0000          0.0000          0.0000          50.0817         
400000          -16261.1499     -52194.6432     -5355.8689      41289.3622      0.0000          0.0000          0.0000          0.0000          65.2013         
500000          -2325.4832      -30145.7554     -3033.5234      30853.7956      0.0000          0.0000          0.0000          0.0000          47.3562         
600000          -10138.9658     -41855.5027     -4294.4883      36011.0252      0.0000          0.0000          0.0000          0.0000          55.4987         
700000          -25004.1768     -64877.3555     -6674.8769      46548.0556      0.0000          0.0000          0.0000          0.0000          72.8006         
800000          -4910.6465      -33999.4693     -3452.2124      32541.0352      0.0000          0.0000          0.0000          0.0000          51.1156         
900000          -8608.5011      -39699.4380     -4030.5770      35121.5139      0.0000          0.0000          0.0000          0.0000          54.6795         
1000000         3440.5924       -18668.6626     -1827.0370      23936.2920      0.0000          0.0000          0.0000          0.0000          37.7028         
