#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         
100000          -520038.6676    134549.6811     -2847.0669      62313.1684      0.0000          -714054.4501    -617361.8638    32769.2126      199.2892        
200000          -600601.6768    101774.8221     -3018.1187      84315.4477      0.0000          -783673.8279    -677546.5769    29919.7353      205.3342        
300000          -610638.7700    100240.1727     -3033.8067      81341.5572      0.0000          -789186.6933    -682806.5393    30083.6779      206.0513        
400000          -625566.0481    98862.6681      -3061.1729      78183.6889      0.0000          -799551.2322    -693324.1939    29890.1125      206.9509        
500000          -654751.3592    105159.5803     -3317.9424      83473.3464      0.0000          -840066.3435    -727262.9800    29932.1394      215.4518        
600000          -624494.7614    104507.7658     -3154.5250      84942.3479      0.0000          -810790.3501    -702842.2652    30264.3358      210.0495        
700000          -593850.9739    98758.2390      -3000.7268      82558.9186      0.0000          -772167.4047    -666700.1581    30310.5004      204.9567        
800000          -591643.8898    91890.6037      -2913.5994      70641.9834      0.0000          -751262.8775    -647303.3835    29582.9038      202.0049        
900000          -625035.4373    102295.1682     -3069.3976      78135.6066      0.0000          -802396.8146    -695290.5294    30306.9075      207.2412        
1000000         -598879.6330    99248.8180      -3048.0884      93358.1843      0.0000          -788438.5469    -682235.1241    31148.1395      206.2943        
