Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       0.009001        -0.029902       0.232770
2       No      Show    2       C       -1.498493       -0.068392       0.198412
3       No      Show    3       C       -2.079521       1.303715        -0.156042
4       No      Show    4       O       0.573963        -0.863553       -0.635685
5       No      Show    5       O       0.650717        0.664546        0.953497
6       No      Show    6       H       -1.740638       2.054429        0.546772
7       No      Show    7       H       -1.780252       1.609611        -1.153186
8       No      Show    8       H       -1.827521       -0.823381       -0.503044
9       No      Show    9       H       -1.828128       -0.361291       1.189687
10      No      Show    10      H       -3.162736       1.268910        -0.127950
11      No      Show    11      H       1.519788        -0.780519       -0.550099
