# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
                 0.0     -267.5804259450
                10.0     -267.5805097122
                20.0     -267.5807233779
                30.0     -267.5809823037
                40.0     -267.5812167334
                50.0     -267.5813765804
                60.0     -267.5814418287
                70.0     -267.5814114381
                80.0     -267.5813155267
                90.0     -267.5811824062
               100.0     -267.5810899514
               110.0     -267.5810992855
               120.0     -267.5812621085
               130.0     -267.5815655680
               140.0     -267.5819550297
               150.0     -267.5823555751
               160.0     -267.5826949659
               170.0     -267.5829215982
