Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.634099       0.014713        -0.117261       
2       No      Show    2       C       -1.282884       0.601894        0.291144        
3       No      Show    3       C       -0.154077       -0.449817       0.369507        
4       No      Show    4       C       1.109050        -0.044228       -0.390338       
5       No      Show    5       H       1.880053        -0.804568       -0.308894       
6       No      Show    6       H       -2.574534       -0.447941       -1.098462       
7       No      Show    7       H       -2.962139       -0.746093       0.585911        
8       No      Show    8       H       -1.383176       1.111163        1.245608        
9       No      Show    9       H       -1.011297       1.370948        -0.428177       
10      No      Show    10      H       -3.401969       0.781511        -0.157160       
11      No      Show    11      H       0.895932        0.101879        -1.445604       
12      No      Show    12      H       1.519118        0.885678        -0.005624       
13      No      Show    13      H       0.096464        -0.649350       1.407694        
14      No      Show    14      H       -0.510492       -1.393744       -0.036197       
