# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
              -180.0     -157.8299667823
              -170.0     -157.8296078305
              -160.0     -157.8286083701
              -150.0     -157.8271972958
              -140.0     -157.8257264643
              -130.0     -157.8245942859
              -120.0     -157.8241298821
              -110.0     -157.8244742731
              -100.0     -157.8255037773
               -90.0     -157.8268418839
               -80.0     -157.8280112102
               -70.0     -157.8286956505
               -60.0     -157.8287683128
               -50.0     -157.8280936724
               -40.0     -157.8266418577
               -30.0     -157.8246412426
               -20.0     -157.8225262677
               -10.0     -157.8208685196
                 0.0     -157.8202238299
                10.0     -157.8208681012
                20.0     -157.8225256601
                30.0     -157.8246405699
                40.0     -157.8266416824
                50.0     -157.8280935628
                60.0     -157.8287682875
                70.0     -157.8286957363
                80.0     -157.8280113682
                90.0     -157.8268421375
               100.0     -157.8255039982
               110.0     -157.8244743633
               120.0     -157.8241298021
               130.0     -157.8245940454
               140.0     -157.8257260663
               150.0     -157.8271968643
               160.0     -157.8286080221
               170.0     -157.8296076205
