Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.266568       1.245079        -0.132260       
2       No      Show    2       C       -1.496136       -0.047290       0.134837        
3       No      Show    3       C       0.019165        0.116863        -0.004967       
4       No      Show    4       C       0.771392        -1.213030       0.020759        
5       No      Show    5       H       1.842951        -1.061621       -0.066795       
6       No      Show    6       H       -1.962490       2.033950        0.550544        
7       No      Show    7       H       -2.092200       1.599948        -1.144027       
8       No      Show    8       H       -1.837666       -0.812119       -0.560015       
9       No      Show    9       H       -1.729521       -0.416251       1.131306        
10      No      Show    10      H       -3.335666       1.098742        -0.012076       
11      No      Show    11      H       0.588646        -1.751804       0.946679        
12      No      Show    12      H       0.458839        -1.852737       -0.799665       
13      No      Show    13      H       0.237733        0.628233        -0.940464       
14      No      Show    14      H       0.387521        0.764037        0.788147        
