Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.560099       0.032261        -0.222055       
2       No      Show    2       C       -1.290058       0.602865        0.410535        
3       No      Show    3       C       -0.129477       -0.414866       0.481220        
4       No      Show    4       C       1.020921        -0.090903       -0.472927       
5       No      Show    5       H       1.806345        -0.838387       -0.412878       
6       No      Show    6       H       -2.371583       -0.323040       -1.231823       
7       No      Show    7       H       -2.939227       -0.805574       0.356021        
8       No      Show    8       H       -1.530702       0.956856        1.409171        
9       No      Show    9       H       -0.974125       1.480265        -0.148090       
10      No      Show    10      H       -3.345071       0.780676        -0.276115       
11      No      Show    11      H       0.678535        -0.052799       -1.503814       
12      No      Show    12      H       1.461442        0.873493        -0.236793       
13      No      Show    13      H       0.262802        -0.456267       1.493592        
14      No      Show    14      H       -0.503752       -1.412536       0.266097        
