Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       -2.148216       0.874838        -0.503870       
2       No      Show    2       C       -1.464022       0.135462        0.647191        
3       No      Show    3       C       0.066603        0.098103        0.537568        
4       No      Show    4       C       0.591493        -0.969662       -0.423737       
5       No      Show    5       H       1.676578        -0.959781       -0.463040       
6       No      Show    6       H       -1.817135       1.908516        -0.549368       
7       No      Show    7       H       -1.932437       0.416693        -1.464525       
8       No      Show    8       H       -1.847532       -0.880338       0.713933        
9       No      Show    9       H       -1.739281       0.624654        1.578483        
10      No      Show    10      H       -3.226847       0.878258        -0.378994       
11      No      Show    11      H       0.280938        -1.961023       -0.106034       
12      No      Show    12      H       0.226975        -0.818135       -1.435409       
13      No      Show    13      H       0.432525        1.077645        0.237596        
14      No      Show    14      H       0.486353        -0.093233       1.522241        
