# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
              -180.0     -267.5829988594
              -170.0     -267.5829215945
              -160.0     -267.5826949611
              -150.0     -267.5823555652
              -140.0     -267.5819549902
              -130.0     -267.5815655391
              -120.0     -267.5812621317
              -110.0     -267.5810993729
              -100.0     -267.5810899824
               -90.0     -267.5811824023
               -80.0     -267.5813155573
               -70.0     -267.5814114054
               -60.0     -267.5814418440
               -50.0     -267.5813765838
               -40.0     -267.5812167340
               -30.0     -267.5809823072
               -20.0     -267.5807234238
               -10.0     -267.5805097161
