Row	Highlight	Display	Tag	Symbol	X	Y	Z
1       No      Show    1       C       0.018572        -0.006006       0.190060
2       No      Show    2       C       -1.488898       -0.058279       0.159045
3       No      Show    3       C       -2.097487       1.315143        -0.128905
4       No      Show    4       O       0.587462        -0.956461       -0.545692
5       No      Show    5       O       0.657218        0.777776        0.815522
6       No      Show    6       H       -1.761527       2.042387        0.599060
7       No      Show    7       H       -1.816258       1.667924        -1.115664
8       No      Show    8       H       -1.809286       -0.790930       -0.569836
9       No      Show    9       H       -1.806747       -0.406971       1.137262
10      No      Show    10      H       -3.179602       1.260352        -0.088972
11      No      Show    11      H       1.532736        -0.870773       -0.456766
