#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         TOT_DENS        VOLUME          
100000          -109980.2113    -453247.3725    -29803.5792     685607.5479     0.0000          -312536.8075    -112963.1520    181312.1319     500.0000        362.8575        105569.3852     
200000          -127484.6869    -452552.4511    -32631.9727     683613.3796     0.0000          -325913.6426    -115344.4730    169847.6893     500.0000        397.2931        96333.6424      
300000          -191991.8082    -496028.6752    -37341.2794     680738.2240     0.0000          -339360.0775    -122496.4113    163611.7306     500.0000        454.6288        84268.5142      
400000          -168821.3207    -484066.8704    -35615.5361     678996.6004     0.0000          -328135.5145    -120333.3949    164242.7356     500.0000        433.6179        88302.8013      
500000          -207250.1834    -518416.1175    -39494.1788     685367.1782     0.0000          -334707.0652    -122645.7919    160412.9413     500.0000        480.8402        79580.3797      
600000          -237049.7881    -528566.4404    -41222.9574     678738.5260     0.0000          -345998.9163    -128744.4496    155527.1027     500.0000        501.8880        76216.6144      
700000          -263977.7981    -548123.9513    -42591.9413     676617.2654     0.0000          -349879.1709    -130363.4992    153112.1159     500.0000        518.5554        73776.2616      
800000          -276512.3583    -560555.2793    -43751.8366     676459.4571     0.0000          -348664.6995    -129499.5223    153454.8311     500.0000        532.6771        71810.4434      
900000          -278053.5789    -560004.9408    -43693.4248     677369.7306     0.0000          -351724.9439    -130961.3095    151994.6398     500.0000        531.9659        71917.8206      
1000000         -298282.5774    -571075.7699    -44538.2073     674163.8711     0.0000          -356832.4713    -133944.9403    149610.5015     500.0000        542.2511        70551.7235      
