#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         TOT_DENS        
100000          -856356.5906    121990.6149     -3345.2272      2089.0195       0.0000          -977090.9978    -853352.8928    33631.5863      250.0000        605.7334        
200000          -857972.5687    123075.3227     -3289.2408      5740.4156       0.0000          -983499.0662    -860597.2452    34633.7992      250.0000        595.5957        
300000          -838670.8419    119097.4204     -3280.5422      9277.7490       0.0000          -963765.4691    -841396.0282    35282.0960      250.0000        594.0206        
400000          -849020.9527    121827.6300     -3234.3910      13268.9061      0.0000          -980883.0978    -858698.2884    35612.2156      250.0000        585.6638        
500000          -868697.0397    124946.7154     -3422.6042      19249.3552      0.0000          -1009470.5062   -885037.6042    33649.9199      250.0000        619.7443        
600000          -826666.4766    121573.6364     -3190.5619      20024.2009      0.0000          -965073.7520    -844953.4302    38082.8597      250.0000        577.7275        
700000          -820420.2449    119502.8383     -3149.4449      21905.1745      0.0000          -958678.8128    -836960.5497    36982.6199      250.0000        570.2823        
800000          -865881.9772    129655.7168     -3320.9159      27183.4810      0.0000          -1019400.2590   -894227.6040    34386.8783      250.0000        601.3312        
900000          -840155.4723    123659.7663     -3232.7040      28595.3341      0.0000          -989177.8688    -865987.9612    36591.6393      250.0000        585.3583        
1000000         -820548.4128    122567.0879     -3214.9348      32161.0161      0.0000          -972061.5819    -848700.8778    37197.2465      250.0000        582.1408        
