#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         TOT_DENS        VOLUME          HEAT_VAP        MOLFRACT_KR     MOLFRACT_C2P    
100000          87773.5043      120119.7687     -32346.2645     0.0000          0.0000          0.0000          0.0000          0.0000          1186.8066       510.5820        229611.0368     -2.4736         0.54749719      0.45250281      
200000          -953800.8075    -901092.8931    -52707.9144     0.0000          0.0000          0.0000          0.0000          0.0000          1441.0781       666.1506        209319.9265     5.7256          0.52368078      0.47631922      
300000          -1104872.0041   -1042097.7413   -62774.2628     0.0000          0.0000          0.0000          0.0000          0.0000          1534.4642       758.5265        197243.9825     6.2415          0.53307031      0.46692969      
400000          -1177106.3200   -1109438.7006   -67667.6194     0.0000          0.0000          0.0000          0.0000          0.0000          1592.9940       792.9030        196473.9979     6.4589          0.53625058      0.46374942      
500000          -1221388.3618   -1151115.9015   -70272.4603     0.0000          0.0000          0.0000          0.0000          0.0000          1582.5224       828.6950        186728.7452     6.7663          0.53605564      0.46394436      
600000          -1270548.4661   -1195917.7429   -74630.7232     0.0000          0.0000          0.0000          0.0000          0.0000          1618.9405       867.6863        183155.2362     7.0421          0.54049704      0.45950296      
700000          -1253416.8448   -1180346.1512   -73070.6935     0.0000          0.0000          0.0000          0.0000          0.0000          1580.8362       858.6210        179606.6692     6.9594          0.53366415      0.46633585      
800000          -1238755.8594   -1165920.3828   -72835.4766     0.0000          0.0000          0.0000          0.0000          0.0000          1546.1372       867.1673        173297.7251     6.9310          0.52902867      0.47097133      
900000          -1259370.1252   -1184947.9181   -74422.2071     0.0000          0.0000          0.0000          0.0000          0.0000          1538.5948       880.6417        168824.7123     7.2688          0.52332672      0.47667328      
1000000         -1277892.2192   -1202567.1466   -75325.0726     0.0000          0.0000          0.0000          0.0000          0.0000          1526.9885       899.7413        164132.9276     7.3105          0.52427277      0.47572723      
