STEPS           TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         TOT_DENS        VOLUME          HEAT_VAP        MOLFRACT_KR     MOLFRACT_C2P    
100000          -172526.1993    -163985.5518    -8540.6474      0.0000          0.0000          0.0000          0.0000          0.0000          818.5746        237.9653        382666.4840     -2.7671         0.6746          0.3254          
200000          -82729.6626     -78687.0479     -4042.6147      0.0000          0.0000          0.0000          0.0000          0.0000          630.8946        184.0518        404621.4066     5.5781          0.7630          0.2370          
300000          -62769.1392     -59741.6660     -3027.4732      0.0000          0.0000          0.0000          0.0000          0.0000          537.3211        170.9539        379140.3681     6.3029          0.7936          0.2064          
400000          -49927.7141     -47451.9579     -2475.7563      0.0000          0.0000          0.0000          0.0000          0.0000          458.7388        170.1287        330846.1387     6.8110          0.8148          0.1852          
500000          -53989.8974     -51341.1505     -2648.7469      0.0000          0.0000          0.0000          0.0000          0.0000          482.8162        178.6689        334990.8713     7.0945          0.8304          0.1696          
600000          -64097.7875     -60940.9273     -3156.8601      0.0000          0.0000          0.0000          0.0000          0.0000          522.4575        189.4777        337159.2542     7.0151          0.8103          0.1897          
700000          -62299.8770     -59313.4898     -2986.3871      0.0000          0.0000          0.0000          0.0000          0.0000          516.6380        185.0943        343797.2241     7.1379          0.8209          0.1791          
800000          -62283.8976     -59188.6256     -3095.2720      0.0000          0.0000          0.0000          0.0000          0.0000          527.6157        184.1356        350190.6917     7.2851          0.8102          0.1898          
900000          -74959.4764     -71158.3048     -3801.1716      0.0000          0.0000          0.0000          0.0000          0.0000          573.3061        210.9847        334086.3164     7.1216          0.8175          0.1825          
1000000         -72057.5858     -68483.1600     -3574.4258      0.0000          0.0000          0.0000          0.0000          0.0000          558.3832        199.2304        341484.5480     7.2994          0.8057          0.1943          
