#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         TOT_DENS        VOLUME          HEAT_VAP        MOLFRACT_KR     MOLFRACT_XE     MOLDENS_KR      MOLDENS_XE      
100000           -4.21372431e+05 -3.97800907e+05 -2.35715247e+04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.85683308e+03  4.68940278e+02  7.36971799e+05 -4.42333274e-01  4.97139911e-01  5.02860089e-01  1.29154296e-03  1.32660297e-03
200000           -1.51290331e+05 -1.43801686e+05 -7.48864540e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.43329169e+03  1.99973276e+02  1.25170924e+06  1.11787361e+01  5.74399190e-01  4.25600810e-01  6.61614914e-04  4.94959364e-04
300000           -9.92120619e+04 -9.40688108e+04 -5.14325110e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.16022699e+03  1.73147351e+02  1.13034554e+06  1.42532714e+01  6.24991976e-01  3.75008024e-01  6.40435723e-04  3.85432017e-04
400000           -7.67752983e+04 -7.28354028e+04 -3.93989553e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  9.47083080e+02  1.65300769e+02  9.47682859e+05  1.69985010e+01  6.67957173e-01  3.32042827e-01  6.67758103e-04  3.32002801e-04
500000           -6.34256763e+04 -6.01419552e+04 -3.28372111e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  8.04010290e+02  1.63960646e+02  8.01967620e+05  1.92003330e+01  6.93934008e-01  3.06065992e-01  6.96807163e-04  3.07315316e-04
600000           -5.28612957e+04 -5.01608208e+04 -2.70047489e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  6.82659990e+02  1.58960317e+02  6.99314231e+05  2.20534211e+01  7.01258861e-01  2.98741139e-01  6.84928308e-04  2.91961536e-04
700000           -4.45101033e+04 -4.22008807e+04 -2.30922265e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.90293770e+02  1.59110547e+02  5.94921551e+05  2.46007875e+01  7.33849764e-01  2.66150236e-01  7.28812383e-04  2.64641516e-04
800000           -4.07381863e+04 -3.87094185e+04 -2.02876781e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  5.30720600e+02  1.56255574e+02  5.38793627e+05  2.69836605e+01  7.53652875e-01  2.46347125e-01  7.42166738e-04  2.43022903e-04
900000           -3.35380348e+04 -3.18124289e+04 -1.72560591e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.39253340e+02  1.61268944e+02  4.34245176e+05  3.10022012e+01  7.54190336e-01  2.45809664e-01  7.66925894e-04  2.50215622e-04
1000000          -2.76489797e+04 -2.62308621e+04 -1.41811761e+03  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.77652210e+02  1.55152427e+02  3.81957590e+05  3.51773722e+01  7.78075469e-01  2.21924531e-01  7.70512846e-04  2.19871037e-04
