STEPS           TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         TOT_DENS        VOLUME          HEAT_VAP        MOLFRACT_KR     MOLFRACT_XE     
100000          199606.0151     250447.7873     -50841.7723     0.0000          0.0000          0.0000          0.0000          0.0000          2228.8688       842.5842        481385.3100     -2.9204         0.4598          0.5402          
200000          -1613798.0586   -1517661.0063   -96137.0523     0.0000          0.0000          0.0000          0.0000          0.0000          2893.8673       1218.5111       437980.0009     4.6432          0.4324          0.5676          
300000          -2100578.8244   -1973129.6099   -127449.2146    0.0000          0.0000          0.0000          0.0000          0.0000          3193.0444       1469.4944       400362.9270     6.1086          0.4296          0.5704          
400000          -2367962.1736   -2219201.0005   -148761.1731    0.0000          0.0000          0.0000          0.0000          0.0000          3321.9036       1647.1954       371945.8578     6.6723          0.4278          0.5722          
500000          -2574774.3253   -2408611.4572   -166162.8681    0.0000          0.0000          0.0000          0.0000          0.0000          3445.1376       1779.6544       355489.5222     7.0824          0.4361          0.5639          
600000          -2714705.0936   -2537141.5987   -177563.4949    0.0000          0.0000          0.0000          0.0000          0.0000          3504.1818       1872.6958       342908.6827     7.2544          0.4412          0.5588          
700000          -2889817.9394   -2699731.7897   -190086.1497    0.0000          0.0000          0.0000          0.0000          0.0000          3546.2390       1980.8544       328090.2624     7.5845          0.4410          0.5590          
800000          -2995734.7644   -2797915.7728   -197818.9916    0.0000          0.0000          0.0000          0.0000          0.0000          3565.4093       2049.9094       318846.3542     7.7431          0.4401          0.5599          
900000          -3090130.3658   -2885508.5872   -204621.7786    0.0000          0.0000          0.0000          0.0000          0.0000          3577.6652       2114.7477       309780.0700     7.9332          0.4427          0.5573          
1000000         -3134094.7354   -2926160.0934   -207934.6421    0.0000          0.0000          0.0000          0.0000          0.0000          3557.9627       2158.9129       302152.3725     8.0580          0.4397          0.5603          
