#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOT_MOL         TOT_DENS        VOLUME          HEAT_VAP        MOLFRACT_KR     MOLFRACT_XE     
100000          -440607.0480    -416286.7726    -24320.2754     0.0000          0.0000          0.0000          0.0000          0.0000          1755.4748       509.9494        622073.5415     -3.1918         0.50646639      0.49353361      
200000          -120435.7565    -114756.3263    -5679.4302      0.0000          0.0000          0.0000          0.0000          0.0000          973.3670        215.7122        772464.7921     5.0271          0.62420018      0.37579982      
300000          -45341.6115     -43006.8978     -2334.7138      0.0000          0.0000          0.0000          0.0000          0.0000          650.3847        144.6642        729783.1864     6.5435          0.70696399      0.29303601      
400000          -36363.4850     -34580.0555     -1783.4296      0.0000          0.0000          0.0000          0.0000          0.0000          519.8836        139.5480        596233.6892     7.1109          0.73559767      0.26440233      
500000          -32445.4589     -30769.1861     -1676.2728      0.0000          0.0000          0.0000          0.0000          0.0000          470.4440        145.2815        515103.5776     7.4088          0.74721833      0.25278167      
600000          -29497.0076     -28011.8241     -1485.1835      0.0000          0.0000          0.0000          0.0000          0.0000          417.6098        146.8547        444801.3160     7.6545          0.78191456      0.21808544      
700000          -30701.4988     -29168.6703     -1532.8286      0.0000          0.0000          0.0000          0.0000          0.0000          419.7085        149.7190        443748.6855     7.7724          0.75834852      0.24165148      
800000          -30543.7492     -29018.5999     -1525.1493      0.0000          0.0000          0.0000          0.0000          0.0000          418.3513        148.7823        447646.7287     7.8098          0.74758917      0.25241083      
900000          -39105.1725     -37126.1300     -1979.0425      0.0000          0.0000          0.0000          0.0000          0.0000          468.2428        172.5416        432426.1551     7.7632          0.74439454      0.25560546      
1000000         -35325.7993     -33498.1006     -1827.6987      0.0000          0.0000          0.0000          0.0000          0.0000          451.8160        165.3096        434485.2971     7.9218          0.75080005      0.24919995      
