STEPS           TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRS(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        
100000          1299407518.0129 1299542256.6683 -196353.3735    99982.6534      0.0000          -38367.9354     -26592.5001     367652.8744     -14164086219.692710185850.3332   1000.0000       1195.2977       
200000          2949414.0837    3258526.9529    -196353.3735    105105.2772     0.0000          -217864.7729    -163135.4039    322590.4522     -113925680.3117 82548.1986      1000.0000       1195.2977       
300000          1163276.6116    1673247.0629    -196353.3735    105138.0461     0.0000          -418755.1239    -307859.9806    266408.3281     -88275269.7286  64103.2956      1000.0000       1195.2977       
400000          543446.6866     1182656.1428    -196353.3735    105138.0461     0.0000          -547994.1288    -405244.2955    234553.6380     -80489964.2127  58504.9756      1000.0000       1195.2977       
500000          185127.6126     921666.8516     -196353.3735    105138.0461     0.0000          -645323.9116    -472473.5785    204453.1382     -76316483.4005  55503.8756      1000.0000       1195.2977       
600000          -66292.4442     759168.5855     -196353.3735    105138.0461     0.0000          -734245.7023    -531264.6630    174322.4321     -73882136.7768  53753.3661      1000.0000       1195.2977       
700000          -261512.1397    610684.5350     -196353.3735    105138.0461     0.0000          -780981.3473    -563296.1213    159618.2453     -71432513.4925  51991.8713      1000.0000       1195.2977       
800000          -402453.7618    507811.2681     -196353.3735    105138.0461     0.0000          -819049.7025    -590202.2300    148455.9988     -69770000.0748  50796.3778      1000.0000       1195.2977       
900000          -494953.9246    444095.6987     -196353.3735    105138.0461     0.0000          -847834.2960    -608770.2394    138239.4148     -68754626.7927  50066.2351      1000.0000       1195.2977       
1000000         -560478.5548    393138.7780     -196353.3735    105138.0461     0.0000          -862402.0054    -615640.6788    130542.1448     -67976293.2029  49506.5447      1000.0000       1195.2977       
