#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        SURF_TENSION    
100000          -4508.6396      -4508.6396      0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          -2751.7082      10.7156         0.5089          
200000          -4525.4415      -4525.4415      0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          -2268.7829      14.5087         0.1307          
300000          -4530.3607      -4530.3607      0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          -2337.1894      13.9714         0.1170          
400000          -4517.2038      -4517.2038      0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          -2179.8169      15.2075         0.5321          
500000          -4550.2142      -4550.2142      0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          -2784.0307      10.4618         0.1790          
600000          -4516.7867      -4516.7867      0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          -2381.3668      13.6244         0.6834          
700000          -4514.4629      -4514.4629      0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          -2507.4914      12.6338         1.2332          
800000          -4495.1370      -4495.1370      0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          -2561.2543      12.2115         0.5354          
900000          -4451.2190      -4451.2190      0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          -2511.7478      12.6004         0.4315          
1000000         -4468.7301      -4468.7301      0.0000          0.0000          0.0000          0.0000          0.0000          0.0000          -2793.9487      10.3839         0.2407          
