#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        
100000          550447.7424     -22498.8616     -1946.8951      574893.4992     0.0000          0.0000          0.0000          0.0000          837602.5206     5.3993          1000.0000       6.5167          
200000          562047.8600     -45015.1153     -1946.8951      609009.8704     0.0000          0.0000          0.0000          0.0000          -65175.3283     2.5940          1000.0000       6.5167          
300000          567774.7099     -42925.4804     -1946.8951      612647.0854     0.0000          0.0000          0.0000          0.0000          -58263.9277     2.6155          1000.0000       6.5167          
400000          567236.0104     -43760.2456     -1946.8951      612943.1511     0.0000          0.0000          0.0000          0.0000          -49785.0262     2.6419          1000.0000       6.5167          
500000          567629.9156     -45730.2683     -1946.8951      615307.0791     0.0000          0.0000          0.0000          0.0000          -61773.0663     2.6046          1000.0000       6.5167          
600000          565395.7340     -43847.7527     -1946.8951      611190.3818     0.0000          0.0000          0.0000          0.0000          -66466.8604     2.5900          1000.0000       6.5167          
700000          562070.1110     -42998.1469     -1946.8951      607015.1531     0.0000          0.0000          0.0000          0.0000          -51990.6142     2.6350          1000.0000       6.5167          
800000          566588.3750     -45062.3886     -1946.8951      613597.6588     0.0000          0.0000          0.0000          0.0000          -68832.0208     2.5827          1000.0000       6.5167          
900000          574880.3011     -45197.1314     -1946.8951      622024.3276     0.0000          0.0000          0.0000          0.0000          -46831.8421     2.6510          1000.0000       6.5167          
1000000         564237.0691     -44100.8504     -1946.8951      610284.8146     0.0000          0.0000          0.0000          0.0000          -46285.1222     2.6527          1000.0000       6.5167          
