#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        
100000          -82681.1171     -70829.9447     0.0000          5610.9230       -14866.5608     -2595.5347      -2595.5347      0.0000          8361402.5917    549.1257        54.0000         45.7905         
200000          -248781.1753    -237098.6816    0.0000          5871.4431       -14874.2135     -2679.7234      -2679.7234      0.0000          -37244.9701     0.8470          54.0000         45.7905         
300000          -264276.2908    -251694.8382    0.0000          5770.6563       -15134.7969     -3217.3119      -3217.3119      0.0000          -55153.9817     -0.3221         54.0000         45.7905         
400000          -274360.4378    -260284.5014    0.0000          6358.1693       -15629.4132     -4804.6925      -4804.6925      0.0000          -36907.2261     0.8691          54.0000         45.7905         
500000          -277322.7661    -264014.5140    0.0000          6386.8531       -15676.8644     -4018.2407      -4018.2407      0.0000          -20719.6804     1.9258          54.0000         45.7905         
600000          -278622.4512    -265624.3659    0.0000          6403.5923       -15535.7935     -3865.8842      -3865.8842      0.0000          -49584.1159     0.0415          54.0000         45.7905         
700000          -284923.8813    -272503.0386    0.0000          6646.0028       -15638.1483     -3428.6973      -3428.6973      0.0000          -79813.4256     -1.9319         54.0000         45.7905         
800000          -289015.4772    -275760.1229    0.0000          6746.9603       -15581.9378     -4420.3769      -4420.3769      0.0000          -42648.7569     0.4943          54.0000         45.7905         
900000          -296610.3425    -284127.3471    0.0000          6861.6597       -15524.1294     -3820.5257      -3820.5257      0.0000          -14373.9647     2.3401          54.0000         45.7905         
1000000         -289094.9105    -278000.4183    0.0000          6923.2393       -15551.8110     -2465.9204      -2465.9204      0.0000          -71153.3698     -1.3666         54.0000         45.7905         
