#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        
100000          396054.4098     -42277.5158     -3008.1127      441340.0382     0.0000          0.0000          0.0000          0.0000          110093.5325     4.6282          1000.0000       9.6093          
200000          414366.5341     -48766.8881     -3008.1127      466141.5349     0.0000          0.0000          0.0000          0.0000          -64966.9816     3.8261          1000.0000       9.6093          
300000          414158.2383     -48067.9370     -3008.1127      465234.2879     0.0000          0.0000          0.0000          0.0000          -71351.6351     3.7968          1000.0000       9.6093          
400000          416554.8161     -47499.5630     -3008.1127      467062.4918     0.0000          0.0000          0.0000          0.0000          -74897.3651     3.7806          1000.0000       9.6093          
500000          411086.2521     -47811.1695     -3008.1127      461905.5344     0.0000          0.0000          0.0000          0.0000          -77768.8412     3.7674          1000.0000       9.6093          
600000          417232.0059     -47586.8220     -3008.1127      467826.9405     0.0000          0.0000          0.0000          0.0000          -76817.8399     3.7718          1000.0000       9.6093          
700000          404321.6027     -47263.9559     -3008.1127      454593.6713     0.0000          0.0000          0.0000          0.0000          -74786.0512     3.7811          1000.0000       9.6093          
800000          420645.2637     -48582.8353     -3008.1127      472236.2117     0.0000          0.0000          0.0000          0.0000          -77944.3113     3.7666          1000.0000       9.6093          
900000          420715.2281     -47525.6950     -3008.1127      471249.0358     0.0000          0.0000          0.0000          0.0000          -64098.8533     3.8300          1000.0000       9.6093          
1000000         410928.5582     -50010.7224     -3008.1127      463947.3933     0.0000          0.0000          0.0000          0.0000          -78654.2995     3.7634          1000.0000       9.6093          
