STEPS           TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRS(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        
100000          -742718.3185    201421.1880     -4459.8403      5905.7889       0.0000          -945585.4550    -857280.9149    23303.7975      -4715268.0454   26040.9993      250.0000        807.5607        
200000          -877212.4860    139235.9932     -4459.8403      7953.5221       0.0000          -1019942.1610   -928230.7475    20028.1005      -3742524.0620   21207.0433      250.0000        807.5607        
300000          -881394.1259    136151.9265     -4459.8403      8097.1943       0.0000          -1021183.4065   -928732.6866    19325.5417      -3694895.9873   20970.3602      250.0000        807.5607        
400000          -889464.6665    142593.8679     -4459.8403      8424.9016       0.0000          -1036023.5957   -943051.3117    18902.0108      -3782015.1823   21403.2905      250.0000        807.5607        
500000          -867022.1637    145521.0024     -4459.8403      10073.0655      0.0000          -1018156.3913   -926642.5056    20533.5517      -3819274.8646   21588.4489      250.0000        807.5607        
600000          -883354.0423    139889.2557     -4459.8403      12452.7433      0.0000          -1031236.2010   -937588.4978    18480.0180      -3739994.2840   21194.4718      250.0000        807.5607        
700000          -528658.0510    470040.5124     -4459.8403      14096.2276      0.0000          -1008334.9508   -914900.8037    18754.2874      -6306615.9304   33949.0469      250.0000        807.5607        
800000          -870524.3003    141779.4202     -4459.8403      14910.8326      0.0000          -1022754.7129   -929878.4007    19301.3855      -3762598.6237   21306.8018      250.0000        807.5607        
900000          -888894.7963    148644.7777     -4459.8403      15658.9125      0.0000          -1048738.6462   -955948.9961    19319.7866      -3882370.7399   21901.9976      250.0000        807.5607        
1000000         -873110.7818    140301.0398     -4459.8403      16595.5821      0.0000          -1025547.5634   -933110.8825    19766.2279      -3768704.0289   21337.1420      250.0000        807.5607        
