#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        VOLUME          HEAT_VAP        MOLFRACT_AR     MOLFRACT_KR     
100000          18606.6909      20308.3296      -1701.6387      0.0000          0.0000          0.0000          0.0000          0.0000          1158191.4598    839.5918        224.5138        274.5344        78817.4518      4.5057          0.63477106      0.36522894      
200000          -9114.5735      -8748.6665      -365.9070       0.0000          0.0000          0.0000          0.0000          0.0000          -14046.7303     23.7068         127.1275        130.5109        78691.9014      5.8789          0.80290319      0.19709681      
300000          -7972.2897      -7651.4226      -320.8671       0.0000          0.0000          0.0000          0.0000          0.0000          -12912.8793     22.6617         120.1672        121.0727        78594.9881      5.9851          0.82367066      0.17632934      
400000          -5985.0332      -5748.3246      -236.7087       0.0000          0.0000          0.0000          0.0000          0.0000          -9563.6921      20.4374         102.9983        103.2286        78015.1996      6.1515          0.83487681      0.16512319      
500000          -5103.1494      -4901.2642      -201.8852       0.0000          0.0000          0.0000          0.0000          0.0000          -7852.2646      19.0930         93.6373         97.7413         77986.6588      6.2435          0.79224593      0.20775407      
600000          -5175.9056      -4972.7947      -203.1109       0.0000          0.0000          0.0000          0.0000          0.0000          -7674.1813      19.5478         94.0767         98.1283         77057.9897      6.1323          0.80744989      0.19255011      
700000          -3672.8195      -3526.0962      -146.7233       0.0000          0.0000          0.0000          0.0000          0.0000          -6017.2168      16.8566         79.0563         83.3884         76227.4843      6.2376          0.80822641      0.19177359      
800000          -3539.6069      -3397.9704      -141.6364       0.0000          0.0000          0.0000          0.0000          0.0000          -6233.5912      16.5403         78.6370         81.3252         76607.6519      6.2896          0.82447448      0.17552552      
900000          -3728.6078      -3578.5994      -150.0084       0.0000          0.0000          0.0000          0.0000          0.0000          -6783.4992      16.9273         81.1261         83.2269         76253.9095      6.2123          0.83533856      0.16466144      
1000000         -4495.1618      -4311.9291      -183.2327       0.0000          0.0000          0.0000          0.0000          0.0000          -6905.5573      19.0055         90.0018         92.0625         76870.8522      6.2065          0.83216962      0.16783038      
