#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        VOLUME          HEAT_VAP        MOLFRACT_C4P    MOLFRACT_FA4    MOLDENS_C4P     MOLDENS_FA4     
100000           -1.08167430e+06 -1.23751603e+06 -1.15012172e+05  2.70853897e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.04182757e+05  1.11080692e+01  5.54939890e+02  1.34521841e+03  1.17832580e+05  2.20169917e+01  3.66899871e-01  6.33100129e-01  1.72820876e-03  2.98145967e-03
200000           -1.09999781e+06 -1.25652723e+06 -1.15755334e+05  2.72284745e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.37056704e+05 -1.19293896e+00  5.56492170e+02  1.34413418e+03  1.16623321e+05  2.23119938e+01  3.80155229e-01  6.19844771e-01  1.81407884e-03  2.95774756e-03
300000           -1.10160046e+06 -1.25377891e+06 -1.15613006e+05  2.67791458e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.49483315e+05 -6.79756973e+00  5.53898690e+02  1.35284479e+03  1.16414805e+05  2.22906545e+01  3.71294726e-01  6.28705274e-01  1.76672569e-03  2.99134924e-03
400000           -1.12068048e+06 -1.25829199e+06 -1.16492610e+05  2.54104123e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.04105827e+05  1.09850351e+01  5.54106840e+02  1.37071252e+03  1.17138283e+05  2.26695757e+01  3.53141569e-01  6.46858431e-01  1.67050876e-03  3.06005116e-03
500000           -1.09907745e+06 -1.24078661e+06 -1.14637990e+05  2.56347155e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.53571284e+05 -8.87455602e+00  5.52534260e+02  1.34560825e+03  1.16995362e+05  2.23976507e+01  3.69325260e-01  6.30674740e-01  1.74424446e-03  2.97853016e-03
600000           -1.09448015e+06 -1.22286696e+06 -1.14032921e+05  2.42419736e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.60720825e+05 -1.25073914e+01  5.49979480e+02  1.35277853e+03  1.18090373e+05  2.22690167e+01  3.50717542e-01  6.49282458e-01  1.63410759e-03  3.02356611e-03
700000           -1.07710027e+06 -1.21306936e+06 -1.12722741e+05  2.48691833e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.03909049e+05  9.80881248e+00  5.50252300e+02  1.33124611e+03  1.18501878e+05  2.20446688e+01  3.63378433e-01  6.36621567e-01  1.68738554e-03  2.95607773e-03
800000           -1.06938369e+06 -1.21185767e+06 -1.12730259e+05  2.55204241e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.14871171e+05  6.01040513e+00  5.51909710e+02  1.32481111e+03  1.18720244e+05  2.19348126e+01  3.69130182e-01  6.30869818e-01  1.71613610e-03  2.93277612e-03
900000           -1.06182076e+06 -1.20694019e+06 -1.12204228e+05  2.57323658e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.04124660e+05  1.04300708e+01  5.52658040e+02  1.31219542e+03  1.18723119e+05  2.17379662e+01  3.79456846e-01  6.20543154e-01  1.76652424e-03  2.88855324e-03
1000000          -1.07129742e+06 -1.22280634e+06 -1.13111981e+05  2.64620897e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.73711508e+05 -1.58102632e+01  5.55363720e+02  1.31142181e+03  1.18016841e+05  2.18044380e+01  3.90228604e-01  6.09771396e-01  1.83659004e-03  2.86948634e-03
