#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        VOLUME          HEAT_VAP        MOLFRACT_C4P    MOLFRACT_FA4    MOLDENS_C4P     MOLDENS_FA4     
100000           -1.64359278e+06 -1.22645298e+06 -1.14619983e+05 -3.02519813e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.87663384e+05 -2.32630510e+01  5.48751710e+02  1.36563293e+03  1.17509119e+05  2.37629796e+01  3.44166063e-01  6.55833937e-01  1.60738543e-03  3.06261385e-03
200000           -1.62462519e+06 -1.21990067e+06 -1.13280221e+05 -2.91444302e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.50648054e+05 -9.80576682e+00  5.45730580e+02  1.34957161e+03  1.16118903e+05  2.31979768e+01  3.61829826e-01  6.38170174e-01  1.70064313e-03  2.99920485e-03
300000           -1.63767173e+06 -1.23128609e+06 -1.13728869e+05 -2.92656766e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.70195145e+05 -1.76371943e+01  5.46183910e+02  1.35135877e+03  1.15393774e+05  2.31946061e+01  3.67335188e-01  6.32664812e-01  1.73893246e-03  2.99437645e-03
400000           -1.63079027e+06 -1.23513677e+06 -1.13927377e+05 -2.81726117e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.90529130e+05  1.51402168e+01  5.49639760e+02  1.34160539e+03  1.15996870e+05  2.28128599e+01  3.75297448e-01  6.24702552e-01  1.77842434e-03  2.96005618e-03
500000           -1.62729193e+06 -1.22641430e+06 -1.13712654e+05 -2.87164974e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.06412021e+05  8.22704545e+00  5.47397030e+02  1.34772401e+03  1.15845100e+05  2.31390644e+01  3.68324482e-01  6.31675518e-01  1.74051541e-03  2.98479376e-03
600000           -1.62056478e+06 -1.23134955e+06 -1.13587825e+05 -2.75627405e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.76156289e+05  2.05222851e+01  5.48313710e+02  1.33945519e+03  1.15528126e+05  2.28109926e+01  3.78361467e-01  6.21638533e-01  1.79593895e-03  2.95033910e-03
700000           -1.60429113e+06 -1.21785007e+06 -1.12507249e+05 -2.73933816e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.46264602e+05 -7.91706853e+00  5.46494630e+02  1.33163189e+03  1.15963404e+05  2.26893813e+01  3.77153879e-01  6.22846121e-01  1.77779956e-03  2.93497524e-03
800000           -1.63059037e+06 -1.22004386e+06 -1.13454799e+05 -2.97091711e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.86067885e+05  1.60438703e+01  5.46649090e+02  1.34972913e+03  1.16387220e+05  2.33393154e+01  3.61105028e-01  6.38894972e-01  1.69620403e-03  3.00068740e-03
900000           -1.64442947e+06 -1.23196977e+06 -1.14218077e+05 -2.98241620e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -3.92111657e+05  1.44973891e+01  5.49868950e+02  1.34936137e+03  1.16695646e+05  2.33663300e+01  3.64466223e-01  6.35533777e-01  1.71750215e-03  2.99455605e-03
1000000          -1.63698863e+06 -1.23392525e+06 -1.13967984e+05 -2.89095400e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.62055836e+05 -1.29742402e+01  5.50171870e+02  1.34354711e+03  1.16694113e+05  2.33298287e+01  3.69117704e-01  6.30882296e-01  1.74055520e-03  2.97421625e-03
