#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        VOLUME          HEAT_VAP        MOLFRACT_ISB    MOLFRACT_NEO    MOLDENS_ISB     MOLDENS_NEO     
100000            3.26605850e+03 -3.74649366e+05 -3.46340702e+04  4.12549495e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.41099706e+05  2.60529717e+01  6.26401360e+02  1.60453296e+02  4.21878184e+05 -5.75683803e-01  5.00547517e-01  4.99452483e-01  7.42712389e-04  7.40915668e-04
200000           -1.38212102e+05 -6.56405871e+05 -6.40087642e+04  5.82202532e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -7.16097315e+05  1.76185269e+01  7.97404530e+02  2.30942369e+02  3.77125437e+05  6.42650767e+00  4.92329559e-01  5.07670441e-01  1.04841495e-03  1.08298786e-03
300000           -3.43758333e+05 -8.89707273e+05 -8.71949829e+04  6.33143923e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -8.39252496e+05  1.44441647e+01  8.72892850e+02  2.90458964e+02  3.26221045e+05  1.00057446e+01  4.90878271e-01  5.09121729e-01  1.31568460e-03  1.36443851e-03
400000           -4.43337400e+05 -9.80739311e+05 -9.71403646e+04  6.34542275e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -8.62818929e+05  1.30388249e+01  8.74950370e+02  3.22687459e+02  2.94408585e+05  1.11967365e+01  4.89417016e-01  5.10582984e-01  1.45685986e-03  1.51970704e-03
500000           -4.68511499e+05 -1.00104538e+06 -1.03913894e+05  6.36447777e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -8.83761108e+05  9.42397211e+00  8.69546240e+02  3.47407732e+02  2.71461843e+05  1.15326916e+01  4.88551386e-01  5.11448614e-01  1.56535281e-03  1.63863610e-03
600000           -5.49527881e+05 -1.07908931e+06 -1.16504881e+05  6.46066310e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -9.19065692e+05  6.63428294e+00  8.83097960e+02  3.83653334e+02  2.49772146e+05  1.24753077e+01  4.89940135e-01  5.10059865e-01  1.73403883e-03  1.80527139e-03
700000           -6.18870984e+05 -1.12561442e+06 -1.22469227e+05  6.29212658e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -8.87334533e+05  1.06476751e+01  8.70317610e+02  4.09183417e+02  2.30783522e+05  1.30201817e+01  4.89337508e-01  5.10662492e-01  1.84690875e-03  1.92743355e-03
800000           -6.64267273e+05 -1.16904999e+06 -1.29176356e+05  6.33959069e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -9.36299584e+05 -6.31887748e-01  8.64435670e+02  4.34366758e+02  2.15897383e+05  1.34152324e+01  4.87463841e-01  5.12536159e-01  1.95231461e-03  2.05271457e-03
900000           -7.18452473e+05 -1.22413775e+06 -1.34855164e+05  6.40540439e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -9.05489907e+05  5.68004328e+00  8.61433670e+02  4.55014449e+02  2.05372708e+05  1.41240587e+01  4.88074275e-01  5.11925725e-01  2.04820106e-03  2.14780713e-03
1000000          -7.35847808e+05 -1.23371052e+06 -1.36330104e+05  6.34192819e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -9.00412975e+05  5.05867316e+00  8.53677070e+02  4.64066791e+02  1.99585099e+05  1.40439482e+01  4.85848945e-01  5.14151055e-01  2.07831530e-03  2.19910354e-03
