#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        VOLUME          HEAT_VAP        MOLFRACT_ISB    MOLFRACT_NEO    
100000          -18294.1044     -326595.4678    -29643.5006     337944.8639     0.0000          0.0000          0.0000          0.0000          -322287.2853    32.5093         559.5139        152.9483        395755.9351     -1.2813         0.50617029      0.49382971      
200000          -188306.9640    -680812.2351    -65554.1584     558059.4294     0.0000          0.0000          0.0000          0.0000          -707032.5230    17.7542         780.1854        242.6178        349583.2310     6.9054          0.49292732      0.50707268      
300000          -384921.6248    -917725.0276    -90803.0766     623606.4794     0.0000          0.0000          0.0000          0.0000          -855348.9643    12.6151         870.8216        303.2251        311567.6463     10.5389         0.49146406      0.50853594      
400000          -424069.0520    -967433.1261    -99290.7242     642654.7983     0.0000          0.0000          0.0000          0.0000          -889396.8055    9.2029          876.4725        329.5469        288313.9898     10.9022         0.49187142      0.50812858      
500000          -503675.5536    -1027356.2879   -103655.6751    627336.4094     0.0000          0.0000          0.0000          0.0000          -882303.3047    9.6936          870.6279        346.0132        273108.9876     11.7576         0.48901988      0.51098012      
600000          -603440.7968    -1124278.7261   -120852.3458    641690.2751     0.0000          0.0000          0.0000          0.0000          -951949.0873    0.8915          886.1723        396.3758        242987.3143     13.0992         0.48959032      0.51040968      
700000          -703294.7920    -1207942.5538   -132923.9559    637571.7178     0.0000          0.0000          0.0000          0.0000          -919892.7892    5.4134          874.8488        441.5855        215002.2821     13.8701         0.48648487      0.51351513      
800000          -746577.0868    -1253150.8622   -138166.3009    644740.0764     0.0000          0.0000          0.0000          0.0000          -884312.6112    12.0610         867.7985        462.3624        203738.4243     14.4858         0.48459885      0.51540115      
900000          -680876.7221    -1197710.3090   -132662.5016    649496.0884     0.0000          0.0000          0.0000          0.0000          -866386.2801    8.8776          837.1825        460.0898        197654.3500     13.4484         0.48064447      0.51935553      
1000000         -735370.2974    -1224272.0715   -135794.8281    624696.6022     0.0000          0.0000          0.0000          0.0000          -856047.1851    11.2443         836.0593        471.6195        192521.5460     13.9078         0.48149510      0.51850490      
