#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        VOLUME          HEAT_VAP        MOLFRACT_XE     MOLFRACT_C2P    MOLDENS_XE      MOLDENS_C2P     
100000            2.37114960e+07  2.38261510e+07 -1.14654974e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  7.07192713e+08  1.85582558e+05  1.64068206e+03  1.18846021e+03  1.80527120e+05  3.21852709e+03  4.80661010e-01  5.19338990e-01  4.36916408e-03  4.72453338e-03
200000           -2.27993214e+06 -2.13384151e+06 -1.46090632e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.15738131e+06  5.14197059e-01  1.83990847e+03  1.38284799e+03  1.74914947e+05  1.12727242e+01  4.85019915e-01  5.14980085e-01  5.10222335e-03  5.41683437e-03
300000           -2.42061967e+06 -2.26662183e+06 -1.53997834e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.17104666e+06  4.99368624e+00  1.88839877e+03  1.42496788e+03  1.74687242e+05  1.19319235e+01  4.87147995e-01  5.12852005e-01  5.26627028e-03  5.54410308e-03
400000           -2.52041661e+06 -2.36099338e+06 -1.59423230e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.19519173e+06  3.29736206e+00  1.91637689e+03  1.46189313e+03  1.73616710e+05  1.23186157e+01  4.90859227e-01  5.09140773e-01  5.41827123e-03  5.61993431e-03
500000           -2.53351825e+06 -2.37357368e+06 -1.59944563e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.23673270e+06 -8.08071248e+00  1.91452343e+03  1.47121627e+03  1.72654844e+05  1.23885846e+01  4.92261604e-01  5.07738396e-01  5.45866072e-03  5.63029915e-03
600000           -2.54802900e+06 -2.38760067e+06 -1.60428327e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.20530232e+06 -1.32376280e+00  1.90502999e+03  1.48130551e+03  1.70464798e+05  1.24434147e+01  4.91499287e-01  5.08500713e-01  5.49290403e-03  5.68284228e-03
700000           -2.55930787e+06 -2.39848597e+06 -1.60821895e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.21746912e+06 -4.21873939e+00  1.90718576e+03  1.48375887e+03  1.70420991e+05  1.25094191e+01  4.91724283e-01  5.08275717e-01  5.50293635e-03  5.68817234e-03
800000           -2.57150137e+06 -2.40986205e+06 -1.61639320e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.20554348e+06  8.75496455e-01  1.91819505e+03  1.48125445e+03  1.71551228e+05  1.25317817e+01  4.91059605e-01  5.08940395e-01  5.49085415e-03  5.69076995e-03
900000           -2.57571060e+06 -2.41383047e+06 -1.61880132e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.20878696e+06 -2.40833850e-01  1.91683452e+03  1.48753065e+03  1.70995703e+05  1.25394487e+01  4.92396989e-01  5.07603011e-01  5.51977341e-03  5.69019526e-03
1000000          -2.56291699e+06 -2.40188848e+06 -1.61028505e+05  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.21799453e+06 -3.76939110e+00  1.91053105e+03  1.48488918e+03  1.70765522e+05  1.24786206e+01  4.92530200e-01  5.07469800e-01  5.51053165e-03  5.67764617e-03
