#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        VOLUME          HEAT_VAP        MOLFRACT_XE     MOLFRACT_C2P    
100000          50880618.0373   50883230.9852   -2612.9479      0.0000          0.0000          0.0000          0.0000          0.0000          1485724577.1290 138784.0087     337.3784        103.0662        483532.0587     2910.9786       0.62598559      0.37401441      
200000          -4185.8916      -3999.0418      -186.8499       0.0000          0.0000          0.0000          0.0000          0.0000          -7114.7380      5.9698          112.3493        37.6087         491035.6070     11.6435         0.67930487      0.32069513      
300000          -3072.8568      -2941.6696      -131.1872       0.0000          0.0000          0.0000          0.0000          0.0000          -4402.9236      5.1624          94.7457         31.7969         492921.4227     12.0162         0.68631805      0.31368195      
400000          -2767.4493      -2642.2976      -125.1517       0.0000          0.0000          0.0000          0.0000          0.0000          -3795.0718      5.0760          92.6583         30.6442         494919.7854     12.2124         0.67665078      0.32334922      
500000          -3347.0938      -3205.0036      -142.0901       0.0000          0.0000          0.0000          0.0000          0.0000          -5415.9525      5.2247          98.1708         31.1444         497163.9530     12.2969         0.64174796      0.35825204      
600000          -3086.6314      -2945.6134      -141.0180       0.0000          0.0000          0.0000          0.0000          0.0000          -4768.1030      5.3082          98.7889         32.8909         498290.4853     12.4359         0.68984632      0.31015368      
700000          -3281.2787      -3131.1294      -150.1493       0.0000          0.0000          0.0000          0.0000          0.0000          -6051.5454      5.3737          101.9905        33.8733         498527.1586     12.3828         0.68768642      0.31231358      
800000          -3296.1252      -3146.9583      -149.1669       0.0000          0.0000          0.0000          0.0000          0.0000          -5483.0734      5.3915          101.3530        32.7991         498285.8951     12.3691         0.66211010      0.33788990      
900000          -4461.3701      -4270.7926      -190.5775       0.0000          0.0000          0.0000          0.0000          0.0000          -7061.6286      5.9984          114.4157        37.0829         498894.7029     12.2731         0.66563084      0.33436916      
1000000         -4902.7512      -4701.3319      -201.4192       0.0000          0.0000          0.0000          0.0000          0.0000          -7968.8013      6.0553          117.0418        35.2251         499907.0482     12.2630         0.59781186      0.40218814      
