#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        VOLUME          HEAT_VAP        
100000          335438.7292     -109492.9040    -21245.3921     557816.2806     -91639.2553     0.0000          0.0000          0.0000          4073107.0515    363.5255        398.5041        104.9815        636192.3598     6.3755          
200000          401211.5515     -159125.6243    -12690.4154     642586.3763     -69558.7851     0.0000          0.0000          0.0000          -211786.5300    13.1209         320.5820        78.4600         678359.6258     0.4335          
300000          335249.9285     -92380.5915     -7732.5145      489850.8458     -54487.8114     0.0000          0.0000          0.0000          -132621.4816    12.5168         247.1100        62.5820         660174.4553     0.5499          
400000          345892.9927     -115348.3127    -9295.1292      527992.9818     -57456.5473     0.0000          0.0000          0.0000          -167540.4052    12.0438         262.4776        70.6460         620941.6963     0.8014          
500000          264840.6093     -93133.0657     -7200.4526      411237.8619     -46063.7343     0.0000          0.0000          0.0000          -118089.3799    13.0485         209.1756        68.7025         509552.4179     0.8277          
600000          333900.5018     -114381.8726    -8694.3267      511482.8131     -54506.1119     0.0000          0.0000          0.0000          -156427.6941    12.2298         254.6871        68.3184         620030.5976     0.6331          
700000          307426.2634     -90812.4215     -7621.1409      457450.0385     -51590.2126     0.0000          0.0000          0.0000          -109464.8109    14.2030         234.4077        64.7304         602252.6255     0.6840          
800000          293519.3100     -91170.1511     -7323.9916      440581.4362     -48567.9835     0.0000          0.0000          0.0000          -104863.3757    14.2900         221.4804        66.0354         559618.8766     0.4539          
900000          298357.0972     -122148.0386    -9286.8381      483561.5458     -53769.5719     0.0000          0.0000          0.0000          -142476.2412    14.1503         241.4629        76.4429         526538.5350     1.5090          
1000000         232562.3610     -59327.9862     -5091.8392      333927.4564     -36945.2700     0.0000          0.0000          0.0000          -73124.9077     13.4280         169.6772        58.1106         482638.9614     1.1866          
