STEPS           TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        VOLUME          HEAT_VAP        
100000          585073.3574     -156485.4719    -14877.4410     890867.2484     -134430.9781    0.0000          0.0000          0.0000          813859.6168     35.5365         607.2381        48.9942         2062154.1828    7.5358          
200000          895869.4490     -219799.8479    -17228.5301     1276895.5003    -143997.6735    0.0000          0.0000          0.0000          -314295.6923    11.3469         660.1449        52.3235         2099593.1085    4.9781          
300000          906478.3373     -226503.1746    -17925.5113     1296359.6413    -145452.6181    0.0000          0.0000          0.0000          -318541.4703    11.7158         661.4421        54.3390         2025722.3487    3.5717          
400000          935030.4095     -235529.9454    -19027.9145     1336233.9148    -146645.6455    0.0000          0.0000          0.0000          -302001.3468    12.7270         670.5089        56.8186         1963508.3593    2.9285          
500000          950832.7293     -248206.3186    -19449.0442     1367429.3593    -148941.2673    0.0000          0.0000          0.0000          -331999.7571    12.2401         681.5309        57.2337         1981507.0488    3.3263          
600000          937376.8363     -231749.7577    -18530.2177     1334672.0841    -147015.2724    0.0000          0.0000          0.0000          -336179.2503    11.6578         665.0657        55.8868         1980273.7662    2.9666          
700000          872188.5267     -237139.3851    -18472.5142     1270183.1284    -142382.7024    0.0000          0.0000          0.0000          -281167.3344    13.1263         642.2921        57.6924         1852974.2594    2.3898          
800000          904894.9265     -294993.9182    -21842.8732     1375229.5266    -153497.8087    0.0000          0.0000          0.0000          -359255.5525    12.9735         690.9347        63.3274         1816688.3562    0.9569          
900000          941303.8046     -297969.1176    -23803.6675     1420962.3409    -157885.7512    0.0000          0.0000          0.0000          -451980.4310    11.5937         711.6575        67.0957         1766183.4152    1.3800          
1000000         839888.0681     -260072.0343    -20961.0464     1260822.4476    -139901.2988    0.0000          0.0000          0.0000          -360503.5141    12.6643         638.3873        65.8634         1613098.3460    0.7656          
