#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        VOLUME          HEAT_VAP        
100000          -1658424.3303   -1273009.2747   -98544.3955     178947.6887     0.0000          -465818.3488    -227348.1960    251730.3255     -904930.6042    13.7281         980.1882        612.0061        122531.8181     16.6179         
200000          -1703623.8896   -1299958.5684   -100208.5118    184570.5313     0.0000          -488027.3407    -240768.3863    243865.3445     -905304.4744    14.1495         981.4404        621.5416        120800.5665     17.3174         
300000          -1680488.8185   -1292802.9196   -99604.0814     176540.1284     0.0000          -464621.9459    -226812.0029    248855.5384     -927645.3140    3.0615          974.4503        622.2315        119807.9354     16.7141         
400000          -1703884.4019   -1300077.6004   -100180.6970    185144.3010     0.0000          -488770.4054    -240991.8851    242902.2412     -911755.5435    11.6478         981.3473        621.4241        120813.0276     17.4376         
500000          -1726245.0189   -1306928.3963   -100797.7229    176320.2838     0.0000          -494839.1835    -245774.1269    240391.4117     -886587.9537    20.5376         978.7018        626.9449        119423.5248     17.0048         
600000          -1719598.8513   -1302502.1496   -100680.9742    174077.5805     0.0000          -490493.3080    -240537.1553    239871.4251     -890382.0184    18.8187         977.8990        626.7394        119370.0307     17.3370         
700000          -1741928.7539   -1312545.3887   -101254.7069    160949.7748     0.0000          -489078.4331    -240493.5685    241154.6398     -931284.6606    2.9019          977.4428        630.6030        118579.3125     17.3420         
800000          -1748797.5356   -1307953.7189   -101015.2810    154260.7251     0.0000          -494089.2608    -244112.1231    239130.1899     -901187.7008    13.7910         975.4908        630.3689        118385.4237     17.1980         
900000          -1721748.2725   -1297366.3738   -100219.9622    164616.2901     0.0000          -488778.2266    -239666.0932    240943.6793     -903300.3699    13.7540         978.2939        623.6156        120012.9833     17.0965         
1000000         -1737399.6807   -1305825.7886   -100613.5138    154926.7605     0.0000          -485887.1389    -239334.0280    242776.1778     -925868.8002    4.8504          977.3869        626.6449        119318.7473     17.5676         
