#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        VOLUME          HEAT_VAP        
100000           -1.69831654e+06 -1.28579116e+06 -9.92549290e+04  1.66841074e+05  0.00000000e+00 -4.80111520e+05 -2.35206166e+05  2.46293049e+05 -9.23813711e+05  7.01323206e+00  9.81621570e+02  6.15504267e+02  1.22010052e+05  1.71741065e+01
200000           -1.68274828e+06 -1.27563855e+06 -9.87982173e+04  1.67131965e+05  0.00000000e+00 -4.75443486e+05 -2.32343788e+05  2.46007329e+05 -9.16395009e+05  8.40372195e+00  9.77367830e+02  6.15348751e+02  1.21511941e+05  1.71251426e+01
300000           -1.69594276e+06 -1.28627137e+06 -9.94174184e+04  1.70006232e+05  0.00000000e+00 -4.80260199e+05 -2.37294418e+05  2.44650923e+05 -8.78634127e+05  2.28284359e+01  9.77085790e+02  6.19385221e+02  1.20683847e+05  1.71177092e+01
400000           -1.71004370e+06 -1.28923813e+06 -9.98849886e+04  1.68111749e+05  0.00000000e+00 -4.89032329e+05 -2.40641022e+05  2.42329107e+05 -8.90211564e+05  1.93005925e+01  9.79753610e+02  6.20598231e+02  1.20775275e+05  1.72169272e+01
500000           -1.72149162e+06 -1.29753239e+06 -1.00232900e+05  1.68045245e+05  0.00000000e+00 -4.91771578e+05 -2.40362740e+05  2.38953645e+05 -8.97184495e+05  1.68050854e+01  9.80094770e+02  6.22552032e+02  1.20437257e+05  1.73361864e+01
600000           -1.72906605e+06 -1.30384192e+06 -1.00243172e+05  1.59758429e+05  0.00000000e+00 -4.84739381e+05 -2.39213468e+05  2.44226088e+05 -9.28187006e+05  4.71420072e+00  9.79457050e+02  6.23017519e+02  1.20269886e+05  1.73208988e+01
700000           -1.69632538e+06 -1.28414295e+06 -9.91737024e+04  1.61849175e+05  0.00000000e+00 -4.74857902e+05 -2.32539455e+05  2.44929892e+05 -9.38345122e+05 -3.97062085e-01  9.76090470e+02  6.18501164e+02  1.20731969e+05  1.68447385e+01
800000           -1.73275604e+06 -1.30389393e+06 -1.00468433e+05  1.58636583e+05  0.00000000e+00 -4.87030256e+05 -2.39992401e+05  2.40378983e+05 -9.44535192e+05 -2.34525898e+00  9.77289180e+02  6.25793360e+02  1.19470579e+05  1.75218166e+01
900000           -1.72092377e+06 -1.30342210e+06 -1.00260117e+05  1.62185809e+05  0.00000000e+00 -4.79427364e+05 -2.36598075e+05  2.44562214e+05 -9.30000552e+05  3.17594587e+00  9.77121010e+02  6.24605177e+02  1.19678623e+05  1.73984773e+01
1000000          -1.70309994e+06 -1.29009005e+06 -9.94461893e+04  1.62184604e+05  0.00000000e+00 -4.75748307e+05 -2.35132182e+05  2.47088728e+05 -8.91397607e+05  1.79780464e+01  9.77299040e+02  6.19427909e+02  1.20700204e+05  1.71355520e+01
