#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        VOLUME          HEAT_VAP        
100000          -217087.0597    -191216.3684    -25870.6913     0.0000          0.0000          0.0000          0.0000          0.0000          4859910.2931    4026.1248       1047.4020       1085.7828       64094.6632      1.9776          
200000          -672639.2529    -641026.4262    -31612.8267     0.0000          0.0000          0.0000          0.0000          0.0000          -370667.1340    20.6323         1156.2725       1210.5483       63360.3188      4.9814          
300000          -704673.9406    -671632.1336    -33041.8070     0.0000          0.0000          0.0000          0.0000          0.0000          -385731.8690    18.6952         1193.9311       1225.5422       64625.4936      5.0826          
400000          -714367.9746    -680864.1353    -33503.8393     0.0000          0.0000          0.0000          0.0000          0.0000          -396778.5870    14.3300         1208.7813       1227.4214       65329.3832      5.1098          
500000          -711561.3993    -678166.0963    -33395.3031     0.0000          0.0000          0.0000          0.0000          0.0000          -397219.2656    15.9131         1217.5751       1214.5946       66501.4325      5.0970          
600000          -710538.0403    -677135.1782    -33402.8621     0.0000          0.0000          0.0000          0.0000          0.0000          -395240.5088    19.2390         1227.1890       1205.3650       67538.4254      5.0467          
700000          -715521.5294    -681892.2658    -33629.2635     0.0000          0.0000          0.0000          0.0000          0.0000          -395771.1541    20.2727         1233.1302       1207.6964       67736.8940      5.0356          
800000          -732926.6962    -698565.7897    -34360.9065     0.0000          0.0000          0.0000          0.0000          0.0000          -401248.5269    19.7345         1246.8129       1220.4044       67772.1752      5.1216          
900000          -755721.0710    -720313.9069    -35407.1640     0.0000          0.0000          0.0000          0.0000          0.0000          -409219.4008    21.9724         1282.6208       1222.4772       69600.8063      5.1503          
1000000         -784104.5559    -747379.0647    -36725.4912     0.0000          0.0000          0.0000          0.0000          0.0000          -447824.8232    6.3721          1326.5002       1226.0407       71772.9485      5.2288          
