#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        VOLUME          HEAT_VAP        
100000           -8.41641016e+05 -7.70451731e+05 -7.11892850e+04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.64230029e+05  4.36181097e+00  4.59789270e+02  5.23900155e+02  1.15766002e+05  1.58848949e+01
200000           -9.13365631e+05 -8.35672031e+05 -7.76935998e+04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.80880226e+05  7.25227252e-01  4.63694080e+02  5.68356290e+02  1.07232507e+05  1.77860722e+01
300000           -9.58135216e+05 -8.76745852e+05 -8.13893637e+04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.35273544e+05  2.12072613e+01  4.64332610e+02  5.94540766e+02  1.02620630e+05  1.88808575e+01
400000           -9.60758625e+05 -8.78838349e+05 -8.19202764e+04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.90069958e+05  3.75470095e+01  4.56112520e+02  6.09175544e+02  9.84170259e+04  1.86009824e+01
500000           -9.95065969e+05 -9.10677839e+05 -8.43881306e+04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.67483186e+05  1.90038034e+00  4.56486680e+02  6.27107176e+02  9.56487103e+04  1.93679289e+01
600000           -9.81837360e+05 -8.97957347e+05 -8.38800125e+04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -5.93828379e+05  3.42386304e+01  4.51282120e+02  6.30470421e+02  9.40520494e+04  1.92247861e+01
700000           -9.92469056e+05 -9.07840329e+05 -8.46287274e+04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.07098893e+05  2.52739661e+01  4.46976630e+02  6.42179347e+02  9.14436515e+04  1.94809920e+01
800000           -9.63466736e+05 -8.81059713e+05 -8.24070229e+04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.32516229e+05  7.67161086e+00  4.40715090e+02  6.34291701e+02  9.13160237e+04  1.87007892e+01
900000           -9.67707080e+05 -8.84734257e+05 -8.29728222e+04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.75000353e+05 -2.68833043e+00  4.54828850e+02  6.18780067e+02  9.65939924e+04  1.88073847e+01
1000000          -9.90457229e+05 -9.06179326e+05 -8.42779032e+04  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.17040618e+05  2.47019473e+01  4.53817820e+02  6.29918159e+02  9.46786572e+04  1.93234645e+01
