#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        VOLUME          HEAT_VAP        
100000          157404.3217     -163395.5763    -21204.2787     342004.1768     0.0000          0.0000          0.0000          0.0000          2071436.7964    214.3801        505.5483        112.2044        540082.4239     1.9526          
200000          167821.9552     -239832.9001    -19590.2142     427245.0695     0.0000          0.0000          0.0000          0.0000          -282166.3353    20.6338         479.7059        109.2796        526118.6859     0.3339          
300000          169328.6684     -214660.7484    -16904.5010     400893.9178     0.0000          0.0000          0.0000          0.0000          -267482.4215    18.5697         438.4199        103.0022        510345.2080     1.0012          
400000          159535.7743     -140834.0430    -10629.8465     310999.6638     0.0000          0.0000          0.0000          0.0000          -210174.9002    14.7145         350.3062        79.8787         525777.2054     2.3821          
500000          149463.3080     -59638.8305     -4667.2203      213769.3588     0.0000          0.0000          0.0000          0.0000          -81844.8492     14.5278         239.5859        51.4239         560783.6445     5.6946          
600000          150335.1879     -36010.3668     -3162.3142      189507.8688     0.0000          0.0000          0.0000          0.0000          -54993.9506     12.5685         206.9474        40.2085         617734.3454     8.4890          
700000          133117.1669     -25382.5093     -2139.1214      160638.7977     0.0000          0.0000          0.0000          0.0000          -41777.6644     10.3614         178.3235        31.9075         669975.2328     10.0597         
800000          129376.1534     -19636.5172     -1705.2582      150717.9289     0.0000          0.0000          0.0000          0.0000          -27119.6839     9.8471          161.0797        28.1114         686286.7219     11.0248         
900000          121607.7823     -18476.1368     -1573.6884      141657.6075     0.0000          0.0000          0.0000          0.0000          -27891.6986     9.1077          156.8142        26.3072         715018.1012     11.6107         
1000000         123393.0611     -19908.8639     -1600.5861      144902.5110     0.0000          0.0000          0.0000          0.0000          -29327.0561     9.0152          160.9089        26.1431         737422.7927     11.6076         
