#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        VOLUME          HEAT_VAP        
100000          79202035.7083   78761139.0983   -92850.7264     604453.6223     -70706.2859     0.0000          0.0000          0.0000          2318897167.3279 1225633.5234    290.3228        570.9840        96614.7419      -1604.3061      
200000          -584890.3527    -1076979.2412   -102005.9184    673339.6186     -79244.8116     0.0000          0.0000          0.0000          -349380.3656    -10.2106        303.8613        606.4381        95046.9013      27.9459         
300000          -625714.0775    -1131569.9148   -105830.7586    693339.0821     -81652.4862     0.0000          0.0000          0.0000          -335950.8017    -0.7795         309.2547        618.1237        94906.4465      29.0088         
400000          -659803.9467    -1182249.3434   -110139.6447    712818.1052     -80233.0639     0.0000          0.0000          0.0000          -309136.8165    15.3618         315.2544        631.1471        94750.8287      29.4638         
500000          -672510.8325    -1192332.7325   -110960.8118    716376.9340     -85594.2222     0.0000          0.0000          0.0000          -357045.0049    -6.5383         317.6954        630.9689        95511.4281      29.6364         
600000          -694536.4095    -1215665.1725   -112712.4064    720089.9530     -86248.7835     0.0000          0.0000          0.0000          -340635.7258    2.2242          319.4331        637.4402        95057.7097      30.4002         
700000          -690726.8731    -1218025.2965   -112913.5474    727206.9961     -86995.0253     0.0000          0.0000          0.0000          -337084.8615    4.8842          321.1121        635.2367        95890.6636      29.8775         
800000          -703805.7410    -1227563.0173   -113701.2278    724651.9443     -87193.4402     0.0000          0.0000          0.0000          -379343.7303    -15.2345        321.4397        639.0158        95418.5740      30.5689         
900000          -729807.2043    -1258896.0943   -115724.9519    732561.8473     -87748.0053     0.0000          0.0000          0.0000          -384897.5903    -16.8865        323.5296        646.1902        94973.6205      31.1822         
1000000         -725701.5024    -1255449.8622   -115568.1582    733439.7373     -88123.2193     0.0000          0.0000          0.0000          -348354.2555    0.4855          323.3399        645.6953        94993.1095      31.0597         
